LinearRegressionModelActivity=-0.0059*N2_Q_AB_nCi_2_NS0_T_KA_p_MAS+0.0052*N1_Q_AB_nCi_2_NS0_T_KA_p_MAS+2.788,2,0.78842,0.69154,0.47822,1.22898,2.74427,[N2_Q_AB_nCi_2_NS0_T_KA_p_MAS  N1_Q_AB_nCi_2_NS0_T_KA_p_MAS]
LinearRegressionModelActivity=-0.0014*N2_Q_AB_nCi_2_NS1_T_KA_p_MAS+0.005*N1_Q_AB_nCi_2_NS0_T_KA_p_MAS+2.5871,2,0.79521,0.45276,0.20499,1.21383,3.15859,[N2_Q_AB_nCi_2_NS1_T_KA_p_MAS  N1_Q_AB_nCi_2_NS0_T_KA_p_MAS]
LinearRegressionModelActivity=-0.0086*N3_Q_AB_nCi_2_NS0_T_KA_p_MAS+0.005*N1_Q_AB_nCi_2_NS0_T_KA_p_MAS+2.8902,2,0.80216,-0.66996,0.44884,1.19476,10.18755,[N1_Q_AB_nCi_2_NS0_T_KA_p_MAS  N3_Q_AB_nCi_2_NS0_T_KA_p_MAS]
LinearRegressionModelActivity=-0.0003*N1_Q_AB_nCi_2_NS1_T_KA_p_MAS+0.0051*N1_Q_AB_nCi_2_NS0_T_KA_p_MAS+2.3016,2,0.79324,0.69616,0.48463,1.22431,2.90810,[N1_Q_AB_nCi_2_NS0_T_KA_p_MAS  N1_Q_AB_nCi_2_NS1_T_KA_p_MAS]
LinearRegressionModelActivity=0.0001*N3_Q_AB_nCi_2_NS0_T_KA_r_MAS+0.0044*N1_Q_AB_nCi_2_NS0_T_KA_p_MAS+2.3406,2,0.80117,0.69710,0.48595,1.20026,2.98183,[N1_Q_AB_nCi_2_NS0_T_KA_p_MAS  N3_Q_AB_nCi_2_NS0_T_KA_r_MAS]
LinearRegressionModelActivity=0.0004*N3_Q_AB_nCi_2_NS1_T_KA_v_MAS+0.0037*N1_Q_AB_nCi_2_NS0_T_KA_p_MAS+1.5861,2,0.79218,0.69000,0.47610,1.21341,3.61988,[N3_Q_AB_nCi_2_NS1_T_KA_v_MAS  N1_Q_AB_nCi_2_NS0_T_KA_p_MAS]
LinearRegressionModelActivity=0.0445*N3_Q_AB_nCi_2_NS1_T_KA_e_MAS+0.0036*N1_Q_AB_nCi_2_NS0_T_KA_p_MAS+0.4603,2,0.79404,0.68015,0.46261,1.21568,3.36216,[N3_Q_AB_nCi_2_NS1_T_KA_e_MAS  N1_Q_AB_nCi_2_NS0_T_KA_p_MAS]
LinearRegressionModelActivity=0.0044*N1_Q_AB_nCi_2_NS0_T_KA_r_MAS+0.0034*N1_Q_AB_nCi_2_NS0_T_KA_p_MAS+2.1714,2,0.78665,0.65084,0.42359,1.22488,5.58201,[N1_Q_AB_nCi_2_NS0_T_KA_p_MAS  N1_Q_AB_nCi_2_NS0_T_KA_r_MAS]
LinearRegressionModelActivity=0.0036*N2_Q_AB_nCi_2_NS0_T_KA_v_MAS+0.0007*N1_Q_AB_nCi_2_NS0_T_KA_p_MAS+-1.5864,2,0.81983,0.60423,0.36510,1.07365,10.50546,[N1_Q_AB_nCi_2_NS0_T_KA_p_MAS  N2_Q_AB_nCi_2_NS0_T_KA_v_MAS]
LinearRegressionModelActivity=0.0028*N1_Q_AB_nCi_2_NS0_T_KA_p_MAS+0.0005*N2_Q_AB_nCi_2_NS1_T_KA_v_MAS+1.2797,2,0.78211,0.68244,0.46572,1.23329,3.16481,[N2_Q_AB_nCi_2_NS1_T_KA_v_MAS  N1_Q_AB_nCi_2_NS0_T_KA_p_MAS]
