Activity,N1_Q_AB_nCi_2_NS1_T_KA_e_MAS,N3_Q_AB_nCi_2_NS1_T_KA_e_MAS,N1_Q_AB_nCi_2_NS0_T_KA_p_MAS,N2_Q_AB_nCi_2_NS0_T_KA_r_MAS,N2_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS1_T_KA_v_MAS,N1_Q_AB_nCi_2_NS0_T_KA_e_MAS,N1_Q_AB_nCi_2_NS1_T_KA_p_MAS,N3_Q_AB_nCi_2_NS1_T_KA_r_MAS,N3_Q_AB_nCi_2_NS1_T_KA_p_MAS,N2_Q_AB_nCi_2_NS1_T_KA_r_MAS,N1_Q_AB_nCi_2_NS0_T_KA_v_MAS,N3_Q_AB_nCi_2_NS0_T_KA_r_MAS,N2_Q_AB_nCi_2_NS0_T_KA_v_MAS,N3_Q_AB_nCi_2_NS1_T_KA_v_MAS,N1_Q_AB_nCi_2_NS0_T_KA_r_MAS,N3_Q_AB_nCi_2_NS0_T_KA_p_MAS
6.11,301.3499999999999,55.836343007090015,500.8623182792969,41.27225385002131,37.044318054055196,3965.385526119835,146.30089999999998,1298.602980597656,57.92706976236028,269.2561360659322,82.56727108676455,6014.1709999999985,32.82789831009999,1658.257428393499,2668.46223557841,127.05139518999997,98.55208210941986
9.0,393.4861999999999,62.187615209699366,846.226733185547,40.78241768806961,38.97757185792876,4381.833280793953,163.7514,2382.9307214179685,71.72114188754168,421.3194367158121,105.02349143668306,6562.225599999998,28.139996218638522,1680.0099135679407,2839.2021770149195,148.66076701999998,146.21731236945502
7.64,238.42499999999995,49.050505516529704,569.4400800000001,68.55106704106494,30.50179756424201,3710.545956333448,109.92129999999999,1399.5618880000002,51.461518398282365,304.81551060752173,75.39910408071142,5772.2676999999985,62.94270230227651,1659.481440489254,2530.4588124896004,156.34935581999997,114.5039223167868
7.31,264.435,50.319267369939276,662.31948146875,68.78631715239385,31.187211496060364,4106.236764288257,116.42379999999999,1691.2365320625,52.65354408486567,343.6938193509517,78.18703203724944,6276.270199999998,62.955818067585916,1734.329026261897,2746.975416584827,162.21306158,127.29549639489386
7.3,447.5759999999999,60.64109009603223,1137.1787448707198,82.48599460838025,38.65308479500698,5812.647541007195,183.01649999999998,3066.9944992931155,105.69417557341862,447.97672904429015,159.03959070619246,10179.667799999997,65.83090651106703,2205.148568188162,3619.321004921604,288.01664399000003,160.46762301072576
8.54,579.156,66.24740610177557,1172.6578587694028,57.83697609947871,46.09113543459306,6110.916161369422,247.11249999999993,3084.6520283516384,105.04548299758798,374.6907906880165,159.8881473060451,12238.2732,36.27120042543326,2373.618827141232,3675.2048462017765,275.90773209,135.8255312310981
8.52,477.97199999999987,61.48285010217771,1096.8716246386896,55.44342537164712,40.91885145834374,5895.985188522907,201.19869999999995,2913.722255681102,104.4937859992049,400.87714434331554,156.52564206980463,10722.867999999997,35.563691280198974,2243.200078757755,3623.1384430364737,244.87801539,145.26751142466313
8.92,464.96699999999987,61.28827962759615,1014.8934958177413,54.79148528119404,40.3988848660455,5809.17956885966,194.69619999999995,2729.3012414498535,104.31186349045801,381.1923685037444,155.5205158208182,10218.865499999998,35.402394182423244,2185.847220949476,3596.9420917097605,236.40060083,136.48722300747113
8.92,519.4859999999999,62.13603423362555,1191.2622766668464,57.10094172855711,42.945600330301595,6114.991505409595,223.44529999999995,3140.007850068009,104.8533212301897,414.96619938563794,158.9672497138528,11974.233,35.950941969016014,2366.2645082389454,3687.664924575597,268.45134428,150.45628207737997
8.96,556.002,65.44108223757739,1355.1486629861904,64.38708500597212,42.44054574837605,6815.2397803429485,220.70619999999994,3900.808433836276,124.85814374163368,520.4291093516167,194.63500506260536,12234.8755,39.97666786951465,2407.0733585326284,4118.102306273063,303.82246843,165.64934877443773
8.55,482.51099999999985,62.66521148806405,1053.9797880480837,55.508668765596745,42.09636548895879,5887.248114816845,206.52979999999994,2848.7208421904,108.15229549287595,391.3829379994046,160.28132433343328,10350.885599999998,35.96496158590133,2189.8304455223374,3650.3849024850315,240.52402551,138.45793535167564
9.22,504.28799999999984,62.38552998024147,1424.0706510176346,81.96024117338209,41.456725215940544,6169.05951530134,207.85509999999996,3798.7249245568237,108.03495815148254,513.6592680866952,166.2883943479743,11319.6929,64.51736070064428,2321.238151202674,3733.836316848946,302.45776264,188.9746288056574
8.0,619.0026000000001,68.07917299997499,1303.2108147501267,69.71204251201577,44.79418593790941,7322.342744794522,243.83839999999995,3744.354908849396,129.6800892576781,439.73070707413405,206.38168295634296,13574.208500000002,42.71547425024511,2561.2683379364935,4327.866225232816,338.51581983999995,147.2749458896052
8.11,661.1130000000002,69.30960624897119,1601.118572771993,71.1238473795553,46.40569686676412,7259.780058300045,261.28889999999996,4513.931980554596,130.31255857231224,517.424678439041,210.2004699045632,14122.263100000002,43.07840966127201,2575.4050380047615,4245.994731975482,361.25084707999997,180.32080332357373
7.92,612.5610000000001,67.52942290783024,1394.166947523137,71.30593087055681,43.425395057730924,7136.190148192137,233.71119999999993,3989.978754332734,130.69831946298717,473.68183772905587,210.85433038283895,13242.880500000003,43.34423583035612,2510.3862637789525,4208.701959855615,351.4167150099999,160.70526668026514
8.15,440.5067999999999,60.80658960330297,849.424560977104,59.931643194833335,39.62962857673537,5863.854551316469,186.48729999999998,2333.5438293020256,108.18642583895642,339.25558801932203,162.7768453352415,9914.1709,39.997661469858066,2182.781837946296,3673.329393472428,245.84982003000002,117.58298842042117
5.55,170.90099999999995,44.867260801608516,283.9510423750001,66.69901347796775,27.590390168498885,2784.572969298883,83.9113,634.51852475,46.89676520120246,165.01789338712737,64.57136466536652,3756.2577000000006,62.771937706528256,1318.2581580643791,2022.4448637099583,124.93721341999998,69.80231540895738
6.07,183.90599999999995,45.89053391180466,339.0041039375001,67.02635098434203,28.34628963197829,3020.421197858835,90.4138,774.8945950000001,47.32677369129971,191.33662181293448,65.69307603380621,4260.2602,62.79769274989507,1411.319627621447,2174.5479444079765,131.46413805999998,78.09989182510638
6.37,313.9559999999999,53.51751404340992,690.0606841872101,79.89135147578962,32.514722410009895,5037.869539088423,129.42879999999997,1848.1658432351685,103.94848537465445,330.62922011513666,151.23736019322632,7284.275199999997,65.5316645716761,1875.08245454621,3321.86414980736,237.61801106000004,116.45979521903092
6.7,225.41999999999996,48.27651832589877,495.64730487500003,68.05736267898266,29.80062328878374,3499.148492708619,103.41879999999999,1206.5652112500002,50.12069178884418,268.13718967640284,72.9021049021589,5268.265199999999,62.895624578552926,1581.0945991059612,2389.454288194701,148.16205853999998,102.488477458879
2.7,223.38,50.8416677914314,268.09988684375,26.980444358077946,32.237751982109415,3054.0234077924156,107.4246,654.6577929375,43.69684029735141,152.49627499743224,61.33693720619342,3927.475500000001,19.693317693691252,1292.47117710901,2169.194037976688,79.09121726999999,59.0920498409243
